isla_fix,cluster_dbscan,n_fotos,lat,lon,fecha_min,fecha_max,Local,Turista,Desconocido,p_turista,p_local,n_fotos_turistico,n_fotos_local,nivel_turistico,nivel_local,indice_turista,r90_m
Fuerteventura,16,46,28.43833,-14.0505765,2021-06-20 15:15:39,2025-02-19 14:24:09,0.2826086956521739,0.5434782608695652,0.17391304347826086,0.5434782608695652,0.2826086956521739,25,13,3,2,0.2608695652173913,97.84505844081902
Fuerteventura,20,46,28.184077,-14.163941,2021-06-25 11:57:46,2025-09-23 14:16:50,0.8695652173913043,0.13043478260869565,0.0,0.13043478260869565,0.8695652173913043,6,40,1,4,-0.7391304347826086,184.13345084241206
Fuerteventura,39,44,28.411835,-13.856034,2022-08-27 14:11:36,2024-12-02 16:28:06,0.0,0.7727272727272727,0.22727272727272727,0.7727272727272727,0.0,34,0,4,1,0.7727272727272727,94.68900111783759
Fuerteventura,23,43,28.440855,-14.056128,2021-07-26 15:16:22,2025-07-24 15:36:39,0.32558139534883723,0.5813953488372093,0.09302325581395349,0.5813953488372093,0.32558139534883723,25,14,3,2,0.2558139534883721,27.650628742706658
Fuerteventura,35,37,28.613127,-13.93597,2022-03-08 10:38:20,2025-03-03 15:25:12,0.0,1.0,0.0,1.0,0.0,37,0,4,1,1.0,156.33221136650633
Fuerteventura,38,36,28.499556,-13.862471,2022-07-17 00:04:55,2022-07-17 00:15:21,0.0,1.0,0.0,1.0,0.0,36,0,4,1,1.0,0.0
Fuerteventura,47,35,28.388216,-13.873778,2022-10-18 09:59:03,2025-03-02 11:19:27,0.0,0.9714285714285714,0.02857142857142857,0.9714285714285714,0.0,34,0,4,1,0.9714285714285714,152.44966953161543
Fuerteventura,59,35,28.550958,-13.905397,2024-09-20 22:41:13,2024-09-21 03:34:21,0.0,1.0,0.0,1.0,0.0,35,0,4,1,1.0,0.0
Fuerteventura,8,34,28.543259499999998,-14.063460500000001,2021-03-05 15:22:39,2026-01-04 17:53:07,0.0,0.7352941176470589,0.2647058823529412,0.7352941176470589,0.0,25,0,3,1,0.7352941176470589,137.76020605592808
Fuerteventura,18,34,28.387013,-14.092503,2021-06-23 14:08:30,2026-01-05 13:27:25,0.11764705882352941,0.6176470588235294,0.2647058823529412,0.6176470588235294,0.11764705882352941,21,4,3,1,0.5,23.36786405507464
Fuerteventura,63,33,28.400592,-13.869595,2025-08-07 08:53:44,2025-08-11 16:22:14,1.0,0.0,0.0,0.0,1.0,0,33,1,4,-1.0,0.0
Fuerteventura,29,32,28.6112,-13.928053,2021-12-13 07:29:09,2026-01-04 12:06:54,0.0625,0.875,0.0625,0.875,0.0625,28,2,4,1,0.8125,143.90461910316725
Fuerteventura,48,31,28.448656,-13.864495,2022-10-20 11:21:08,2022-10-21 13:37:57,1.0,0.0,0.0,0.0,1.0,0,31,1,4,-1.0,0.0
Fuerteventura,49,30,28.510095,-14.030160500000001,2023-01-08 11:53:40,2025-03-01 11:13:17,0.0,0.9666666666666667,0.03333333333333333,0.9666666666666667,0.0,29,0,4,1,0.9666666666666667,319.7612134663638
Fuerteventura,0,28,28.3919005,-14.104256,2021-01-12 14:56:03,2025-09-25 11:16:55,0.42857142857142855,0.5,0.07142857142857142,0.5,0.42857142857142855,14,12,3,2,0.07142857142857145,58.342979314275304
Fuerteventura,60,28,28.322673,-13.8959855,2021-12-11 17:09:09,2025-03-07 10:46:51,0.0,0.6428571428571429,0.35714285714285715,0.6428571428571429,0.0,18,0,3,1,0.6428571428571429,194.6072418613425
Fuerteventura,65,27,28.499945,-13.853525,2026-02-19 19:17:30,2026-02-28 18:58:36,1.0,0.0,0.0,0.0,1.0,0,27,1,4,-1.0,0.0
Fuerteventura,28,26,28.423180000000002,-14.015064,2021-11-15 11:48:27,2025-07-17 13:38:38,0.5384615384615384,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.5384615384615384,8,14,2,3,-0.23076923076923073,92.57450934740568
