isla_fix,cluster_kmeans,Desconocido,Local,Turista
Gran Canaria,11,0.10460772104607721,0.20174346201743462,0.6936488169364882
Gran Canaria,12,0.09144542772861357,0.4026548672566372,0.5058997050147492
Gran Canaria,13,0.1379980563654033,0.6433430515063168,0.21865889212827988
Gran Canaria,14,0.16142557651991615,0.5031446540880503,0.33542976939203356
Gran Canaria,15,0.7391304347826086,0.043478260869565216,0.21739130434782608
Gran Canaria,16,0.2546816479400749,0.46441947565543074,0.2808988764044944
Gran Canaria,17,0.10144927536231885,0.2608695652173913,0.6376811594202898
La Gomera,0,0.0995850622406639,0.03734439834024896,0.8630705394190872
La Gomera,1,0.2857142857142857,0.047619047619047616,0.6666666666666666
La Gomera,2,0.062154696132596686,0.27900552486187846,0.6588397790055248
La Gomera,3,0.187039764359352,0.21649484536082475,0.5964653902798233
La Gomera,4,0.008620689655172414,0.20689655172413793,0.7844827586206896
La Gomera,5,0.0,0.5526315789473685,0.4473684210526316
La Gomera,6,0.17142857142857143,0.4642857142857143,0.36428571428571427
La Gomera,7,0.25508317929759705,0.06099815157116451,0.6839186691312384
La Gomera,8,0.049019607843137254,0.08823529411764706,0.8627450980392157
La Gomera,9,0.0,0.2222222222222222,0.7777777777777778
La Gomera,10,0.096,0.68,0.224
La Gomera,11,0.09859154929577464,0.7746478873239436,0.1267605633802817
La Gomera,12,0.08695652173913043,0.08361204013377926,0.8294314381270903
La Gomera,13,0.02575107296137339,0.11373390557939914,0.8605150214592274
La Gomera,14,0.08450704225352113,0.22535211267605634,0.6901408450704225
La Gomera,15,0.1326530612244898,0.1836734693877551,0.6836734693877551
La Gomera,16,0.0,0.043478260869565216,0.9565217391304348
La Gomera,17,0.05228758169934641,0.17647058823529413,0.7712418300653595
La Gomera,18,0.040983606557377046,0.09016393442622951,0.8688524590163934
La Gomera,19,0.12209302325581395,0.005813953488372093,0.872093023255814
La Palma,0,0.0049504950495049506,0.09570957095709572,0.8993399339933993
La Palma,1,0.022566995768688293,0.13399153737658676,0.843441466854725
La Palma,2,0.10239651416122005,0.2178649237472767,0.6797385620915033
La Palma,3,0.06374501992031872,0.10756972111553785,0.8286852589641435
La Palma,4,0.08726003490401396,0.0506108202443281,0.8621291448516579
La Palma,5,0.07451923076923077,0.3870192307692308,0.5384615384615384
La Palma,6,0.13253012048192772,0.30120481927710846,0.5662650602409639
La Palma,7,0.08238636363636363,0.2727272727272727,0.6448863636363636
La Palma,8,0.0903010033444816,0.0033444816053511705,0.9063545150501672
La Palma,9,0.07989347536617843,0.11584553928095873,0.8042609853528628
La Palma,10,0.02119309262166405,0.013343799058084773,0.9654631083202512
La Palma,11,0.033112582781456956,0.3509933774834437,0.6158940397350994
La Palma,12,0.035830618892508145,0.003257328990228013,0.9609120521172638
La Palma,13,0.08029197080291971,0.5255474452554745,0.39416058394160586
La Palma,14,0.031914893617021274,0.08156028368794327,0.8865248226950354
La Palma,15,0.059734513274336286,0.03982300884955752,0.9004424778761062
La Palma,16,0.1746987951807229,0.12048192771084337,0.7048192771084337
La Palma,17,0.04024767801857585,0.15325077399380804,0.8065015479876161
La Palma,18,0.1062992125984252,0.2637795275590551,0.6299212598425197
La Palma,19,0.04044750430292599,0.08950086058519793,0.8700516351118761
La Palma,20,0.12844036697247707,0.21100917431192662,0.6605504587155964
La Palma,21,0.07079646017699115,0.15486725663716813,0.7743362831858407
La Palma,22,0.0425531914893617,0.3900709219858156,0.5673758865248227
La Palma,23,0.05555555555555555,0.25925925925925924,0.6851851851851852
La Palma,24,0.006042296072507553,0.18429003021148035,0.8096676737160121
Lanzarote,0,0.144,0.5782857142857143,0.2777142857142857
Lanzarote,1,0.06447368421052632,0.31973684210526315,0.6157894736842106
Lanzarote,2,0.1828665568369028,0.3624382207578254,0.4546952224052718
Lanzarote,3,0.030439952437574316,0.9174791914387633,0.052080856123662304
Lanzarote,4,0.24725943970767356,0.5071051563134389,0.24563540397888753
Lanzarote,5,0.09252971137521222,0.3845500848896435,0.5229202037351444
Lanzarote,6,0.0951993490642799,0.13751017087062653,0.7672904800650936
Lanzarote,7,0.10272638753651411,0.5754625121713729,0.32181110029211296
Lanzarote,8,0.044605809128630707,0.13796680497925312,0.8174273858921162
Lanzarote,9,0.061752988047808766,0.5219123505976095,0.4163346613545817
Lanzarote,10,0.28790983606557374,0.608094262295082,0.10399590163934426
Lanzarote,11,0.0982367758186398,0.38287153652392947,0.5188916876574308
Lanzarote,12,0.0744,0.516,0.4096
Lanzarote,13,0.3711111111111111,0.37851851851851853,0.25037037037037035
Lanzarote,14,0.10964083175803403,0.5916824196597353,0.29867674858223064
Lanzarote,15,0.08662280701754387,0.49122807017543857,0.42214912280701755
Lanzarote,16,0.1212624584717608,0.521594684385382,0.35714285714285715
Lanzarote,17,0.11040609137055837,0.5545685279187818,0.3350253807106599
Lanzarote,18,0.4,0.48484848484848486,0.11515151515151516
Lanzarote,19,0.12915851272015655,0.5577299412915852,0.3131115459882583
Tenerife,0,0.13791899441340782,0.3229748603351955,0.5391061452513967
Tenerife,1,0.09022754175983165,0.3085624095751677,0.6012100486650006
Tenerife,2,0.18582434514637905,0.3741140215716487,0.4400616332819723
Tenerife,3,0.17006802721088435,0.34787708186722965,0.48205489092188597
Tenerife,4,0.09357720119098256,0.22245852828583582,0.6839642705231816
