isla_fix,cluster_hdbscan,Desconocido,Local,Turista
Gran Canaria,15,0.0,0.0,1.0
Gran Canaria,16,0.02702702702702703,0.0,0.972972972972973
Gran Canaria,17,0.12,0.0,0.88
Gran Canaria,18,0.02564102564102564,0.3076923076923077,0.6666666666666666
Gran Canaria,19,0.0,0.0,1.0
Gran Canaria,20,0.014925373134328358,0.19402985074626866,0.7910447761194029
Gran Canaria,21,1.0,0.0,0.0
Gran Canaria,22,0.0,0.0,1.0
Gran Canaria,23,0.056074766355140186,0.17757009345794392,0.7663551401869159
Gran Canaria,24,0.0,0.0,1.0
Gran Canaria,25,0.013888888888888888,0.9583333333333334,0.027777777777777776
Gran Canaria,26,0.20618556701030927,0.4639175257731959,0.32989690721649484
Gran Canaria,27,0.20481927710843373,0.1686746987951807,0.6265060240963856
Gran Canaria,28,0.203125,0.6640625,0.1328125
Gran Canaria,29,0.28378378378378377,0.02702702702702703,0.6891891891891891
Gran Canaria,30,0.0,0.9393939393939394,0.06060606060606061
Gran Canaria,31,0.0,0.057692307692307696,0.9423076923076923
Gran Canaria,32,0.0,0.0,1.0
Gran Canaria,33,0.023255813953488372,0.13953488372093023,0.8372093023255814
Gran Canaria,34,0.08695652173913043,0.021739130434782608,0.8913043478260869
Gran Canaria,35,0.022727272727272728,0.4772727272727273,0.5
Gran Canaria,36,0.0,0.0,1.0
Gran Canaria,37,0.0,0.0,1.0
Gran Canaria,38,0.6111111111111112,0.1111111111111111,0.2777777777777778
Gran Canaria,39,0.4157303370786517,0.07865168539325842,0.5056179775280899
Gran Canaria,40,0.3055555555555556,0.3333333333333333,0.3611111111111111
Gran Canaria,41,0.10869565217391304,0.07246376811594203,0.8188405797101449
Gran Canaria,42,0.02857142857142857,0.0,0.9714285714285714
Gran Canaria,43,0.07333333333333333,0.92,0.006666666666666667
Gran Canaria,44,0.0,1.0,0.0
Gran Canaria,45,0.2857142857142857,0.42857142857142855,0.2857142857142857
Gran Canaria,46,0.16326530612244897,0.0,0.8367346938775511
Gran Canaria,47,0.0,0.9736842105263158,0.02631578947368421
Gran Canaria,48,0.0,1.0,0.0
Gran Canaria,49,0.05925925925925926,0.9333333333333333,0.007407407407407408
Gran Canaria,50,0.125,0.875,0.0
Gran Canaria,51,0.0,1.0,0.0
Gran Canaria,52,0.0,1.0,0.0
Gran Canaria,53,0.0,0.03076923076923077,0.9692307692307692
Gran Canaria,54,0.21153846153846154,0.19230769230769232,0.5961538461538461
Gran Canaria,55,0.0,1.0,0.0
Gran Canaria,56,0.13157894736842105,0.0,0.868421052631579
Gran Canaria,57,0.0,0.9881656804733728,0.011834319526627219
Gran Canaria,58,0.13636363636363635,0.011363636363636364,0.8522727272727273
Gran Canaria,59,0.05263157894736842,0.881578947368421,0.06578947368421052
Gran Canaria,60,0.04878048780487805,0.24390243902439024,0.7073170731707317
Gran Canaria,61,0.0,0.044444444444444446,0.9555555555555556
Gran Canaria,62,0.1076923076923077,0.6,0.2923076923076923
Gran Canaria,63,0.0,0.0,1.0
Gran Canaria,64,0.025974025974025976,0.948051948051948,0.025974025974025976
Gran Canaria,65,0.0,1.0,0.0
Gran Canaria,66,0.30303030303030304,0.21212121212121213,0.48484848484848486
Gran Canaria,67,0.38181818181818183,0.0,0.6181818181818182
Gran Canaria,68,0.027777777777777776,0.9444444444444444,0.027777777777777776
Gran Canaria,69,0.0,0.9876543209876543,0.012345679012345678
Gran Canaria,70,0.43478260869565216,0.0,0.5652173913043478
Gran Canaria,71,0.05714285714285714,0.0,0.9428571428571428
Gran Canaria,72,0.061224489795918366,0.061224489795918366,0.8775510204081632
Gran Canaria,73,0.0967741935483871,0.7741935483870968,0.12903225806451613
Gran Canaria,74,0.0,1.0,0.0
Gran Canaria,75,0.19387755102040816,0.16326530612244897,0.6428571428571429
Gran Canaria,76,0.0,0.9478260869565217,0.05217391304347826
Gran Canaria,77,0.038461538461538464,0.038461538461538464,0.9230769230769231
Gran Canaria,78,0.058823529411764705,0.047058823529411764,0.8941176470588236
Gran Canaria,79,0.375,0.25,0.375
Gran Canaria,80,0.04,0.0,0.96
Gran Canaria,81,0.11594202898550725,0.057971014492753624,0.8260869565217391
Gran Canaria,82,0.07142857142857142,0.11904761904761904,0.8095238095238095
Gran Canaria,83,0.08695652173913043,0.10869565217391304,0.8043478260869565
Gran Canaria,84,0.4111111111111111,0.3333333333333333,0.25555555555555554
Gran Canaria,85,0.9272727272727272,0.0,0.07272727272727272
Gran Canaria,86,0.06060606060606061,0.0,0.9393939393939394
Gran Canaria,87,0.03361344537815126,0.025210084033613446,0.9411764705882353
Gran Canaria,88,0.044444444444444446,0.06666666666666667,0.8888888888888888
Gran Canaria,89,0.0,0.0,1.0
